Category,Category Status,Question,Question Status,Answer,Last Modified Date,Web Address,Display Text
Day of Review of  Drainage District Boundaries & Review of Apportionments,Published,What is a Day of Review of District Boundaries?,Published,<p>The Michigan Legislature passed a law in 2013 to allow revisions to historical drainage district boundaries when recommended by a licensed engineer. Property owners can review changes with the Drain Office staff during the Day of Review.</p>,01/09/2021 10:50:34,,
Day of Review of  Drainage District Boundaries & Review of Apportionments,Published,What is a Drainage District?,Published,<p>A drainage district is the land area that benefits from the drain. The drainage district makes up the watershed that contributes water to the drain. Each property and municipality within the drainage district pays for maintenance and improvement of the drain.</p>,01/09/2021 10:50:40,,
Day of Review of  Drainage District Boundaries & Review of Apportionments,Published,Why are the boundaries being revised?,Published,<p>Revisions are recommended because the historic drainage district boundaries do not accurately reflect the current watershed of the drain.</p>,01/09/2021 10:50:46,,
Day of Review of  Drainage District Boundaries & Review of Apportionments,Published,What is a Day of Review of Apportionments?,Published,"<p>A Day of Review of Apportionments provides an opportunity for property owners to review the percent of benefit of the drain assigned to their property. The apportionments of benefit are based on acreage, land use, and other factors. The apportionments determine the assessment amount for each property for costs of construction or maintenance.</p>",01/09/2021 10:50:52,,
Day of Review of  Drainage District Boundaries & Review of Apportionments,Published,Why are the apportionments being revised?,Published,"<p>Parcel apportionments are being revised to more accurately reflect the percentage of benefit that each property receives from the drain. &nbsp;If a parcel is on the outer boundary of a drainage district, it is possible that only a portion of the parcel will be assessed.</p>",01/09/2021 10:50:58,,
Day of Review of  Drainage District Boundaries & Review of Apportionments,Published,Why did I receive a notice?,Published,"<p>Notices went out to the following property owners:</p><ul><li>Properties being added to the Drainage<ul><li>District. The properties were not previously in the drainage district, but the engineers determined that the properties are within the drain&rsquo;s watershed.</li></ul></li><li>Properties being removed from the Drainage<ul><li>District. The properties were previously in the drainage district, but the engineers determined that the properties are not in the drain&rsquo;s watershed.</li></ul></li><li>Properties currently in the Drainage District and proposed to remain in the Drainage<ul><li>District. There is no change in terms of boundaries for these properties. All property owners subject to an assessment were sent a copy of the notice.</li></ul></li></ul>",01/09/2021 10:51:49,,
Day of Review of  Drainage District Boundaries & Review of Apportionments,Published,When do I receive my drain assessment?,Published,"<p>Drain assessments are included on your Winter Tax bill, and are only levied when costs are incurred for the drain. Assessment amounts vary from year to year.</p>",01/09/2021 10:51:59,,
Day of Review of  Drainage District Boundaries & Review of Apportionments,Published,What is my assessment amount?,Published,<p>Estimated assessment amounts are included in your notice and are also available at the Day of Review.</p>,01/09/2021 10:52:05,,
Day of Review of  Drainage District Boundaries & Review of Apportionments,Published,Do I have to attend the Day of Review?,Published,<p>You are not required to attend the Day of Review.</p>,01/09/2021 10:52:10,,
Drain Projects,Published,What is a drain project?,Published,"<p>A drain project is the establishment, construction, maintenance or improvement of a drain designed to prevent flooding, decrease soil erosion and sedimentation and provide better drainage or agricultural lands, residential lands or other development. A “drain” may include roadside ditches, agricultural drains, tiling/enclosed systems under agricultural or developed land, creeks, rivers and lakes.</p>",01/09/2021 10:53:59,,
Drain Projects,Published,Who is in charge of drains and drain projects?,Published,"<p>Drainage activities are generally governed by the Michigan Drain Code and administered by the County Drain Commissioner, the elected official in charge. The Drain Commissioner has jurisdiction over all established county drains and performs the duties set forth in the Drain Code. Basically, the Drain Commissioner administers the establishment, construction, maintenance and improvement of county drains, and is responsible for the assessment of the costs incurred.</p>",01/09/2021 10:53:54,,
Drain Projects,Published,How does a drain project begin?,Published,"<p>Generally, drain projects are started when a &quot;petition&quot; is submitted to the Drain Commissioner. The petition states that a drainage problem exists and the petitioners would like the Drain Commissioner to solve the problem. A petition can be filed on an existing drain for maintenance or improvements to be undertaken, or it can be filed for the establishment of a new drain.</p><p>For an existing drain, a petition must be signed by at least five property owners whose land is located in the drainage district and would be liable to be assessed for a portion of the costs of the project.</p><p>For a new drain, an application to establish a drainage district is required before you can petition to establish a County Drain. A drainage district is the area of land that benefits from the drain. The application must be signed by at least ten property owners in the township-five of whom must own land in the drainage district. After the application is received, the Drain Commissioner works with an engineer to determine the area which would be drained by and receive benefit from the new drain. If determined practical, the Drain Commissioner then formally establishes the drainage district boundary. A petition to locate, establish and construct the new drain is then required. The petition must be signed by 50% of the property owners whose property would be traversed by the new drain.</p>",01/09/2021 10:53:49,,
Drain Projects,Published,"Who can petition for a drain project? ",Published,"<p>A petition can be filed by property owners in the Drainage District, a Township/City/Village, and the County Road Commission or the Michigan Department of Transportation.</p>",01/09/2021 10:54:09,,
Drain Projects,Published,Who decides whether to do a drain project?,Published,"<p>Once petitioned, a &quot;Board of Determination&quot; convenes. The Board of Determination is a three-member board appointed by the Drain Commissioner. The members must be residents of the County but cannot own property in the Drainage District or in the Township/City/Village. The role of the Board of Determination is to receive testimony and evidence at a public hearing to determine:</p><ul><li>Whether a project is necessary and conducive to the public health, convenience or welfare</li><li>Whether all or a portion of the project benefits the municipalities in the district for the protection of public health; and in some instances</li><li>Whether lands should be included in or added to a drainage district.</li></ul><p>The Board of Determination does not determine the scope of the project or the cost of the project, and does not determine how much property owners and municipalities will be assessed for the project. The Drain Commissioner makes these decisions after the engineering is performed, but before construction occurs.</p>",01/09/2021 10:54:30,,
Drain Projects,Published,Who receives notice of a board of determination hearing?,Published,"<p>Notices for the Board of Determination hearings are sent to all property owners who own land within a current drainage district and whose lands are proposed to be added to the drainage district. All interested persons may testify at the Board of Determination, or may send written testimony to the Drain Commissioner prior to the Board of Determination hearing.</p>",01/09/2021 10:54:37,,
Drain Projects,Published,Can the board’s decision be appealed?,Published,"<p>If the Board of Determination determines a drain project is necessary, any aggrieved person has 10 days to appeal but they may only appeal the finding of necessity, since that is the only issue the Board of Determination is acting upon. After the 10th day appeal period is over, the Drain Commissioner may proceed with the project.</p>",01/09/2021 10:54:47,,
Drain Projects,Published,Can the project change?,Published,"<p>Since the scope of the project may not be fully defined at the time of the Board of Determination meeting, drain projects may change in scope. The project may get larger or smaller.</p>",01/09/2021 10:54:55,,
Drain Projects,Published,Who determines what needs to be done?,Published,"<p>If the Board of Determination determines a drain project is necessary, the Drain Commissioner decides how to solve the problem. He may contract out various parts of the project, including engineering analysis, project management, and construction.</p>",01/09/2021 10:55:02,,
Drain Projects,Published,Who pays for drain projects?,Published,"<p>Land owners and municipalities within a given Drainage District pay for drain projects within the district. The cost of the project is shared by all the property owners within the district. Each property will be assigned its share, which is calculated on the &quot;benefit&quot; received by each property. The methods for determining benefits can be based on a variety of factors such as acreage and zoning/land use that treat all property owners fairly. Portions of drain project costs are also assigned to the Township/City/Village for public health benefit and to the County and the County Road Commission for benefit to county roads.</p><p>The Drain Commissioner will also determine the terms of payment for any assessment. Large projects may be financed by the issuance of notes or bonds, with the costs and assessment. Large projects may be financed by the issuance of notes or bonds, with the costs and assessments spread out over many years.</p>",01/09/2021 10:55:14,,
Drain Projects,Published,"What is the Drain Commissioner allowed to do without a petition? ",Published,"<p>Michigan Drain Code allows the Drain Commissioner to expend, without petition, up to $5,000 per mile per drain in any one year for maintenance and repair. </p>",01/09/2021 10:55:22,,
Drain Projects,Published,What’s next?,Published,"<p>If you believe that an official county drain would be beneficial to your property or would like to request maintenance of an existing county drain, please feel free to contact the Drain Commissioner&rsquo;s Office for additional information and guidance.</p>",01/09/2021 10:55:30,,
"Drain Assessments ",Published,"What is a drain assessment? ",Published,<p>County drainage districts are separate public corporations with their own financial records. &nbsp; Each drainage district is supported by a Drain Special Assessment that covers the cost of maintaining the drainage system. &nbsp;County drains are not maintained by Van Buren County general fund taxes.</p>,01/09/2021 10:56:49,,
"Drain Assessments ",Published,What is a drainage district?,Published,<p>A drainage district is a legally established area of land that drains to a common outlet. &nbsp; Drainage district boundaries are determined by the natural topography of the land and rarely correspond to political boundaries such as townships or counties. &nbsp; Common words for drainage district include watershed and drainage basin.</p>,01/09/2021 10:56:56,,
"Drain Assessments ",Published,"Where is the storm drain for which I am being assessed? ",Published,"<p>The Van Buren County Drain Office has maps and aerial photos that can show the location of your property and the county drains within the drainage district. &nbsp; These documents will be available on the Day of Review. &nbsp; Even if your property does not touch the county drain, storm water flows toward this county drain as an outlet regardless of the land&rsquo;s elevation. </p>",01/09/2021 10:57:12,,
"Drain Assessments ",Published,"Why did I receive more than one special assessment notice? ",Published,"<p>Each notice informs you of a Drain Special Assessment for a different drainage district. Your property can be in multiple drainage districts because storm water moves from smaller watersheds through larger watersheds, ultimately discharging to the Great Lakes. For example, if your property were located in a small watershed that is &quot;nested&quot; inside a larger watershed, you would receive an assessment for each district, should they both be assessed in the same year.</p>",01/09/2021 10:57:32,,
"Drain Assessments ",Published,"Is this the only way I would receive multiple drains assessments in one year? ",Published,<p>No. Water may flow off your property in more than one direction to different drains and drainage districts and all of those drains may be assessed in one year.</p>,01/09/2021 10:57:40,,
"Drain Assessments ",Published,"How are assessments determined? ",Published,"<p>The law requires that assessments be based on benefit derived as determined by the Drain Commissioner. All properties within the drainage district are assessed considering factors such as size of the parcel, land use, proximity to the drain, and location of the property within the district. Drainage is considered as an interdependent system with the entire system benefiting from maintenance of the common outlet.</p>",01/09/2021 10:57:49,,
"Drain Assessments ",Published,"Do all property owners pay drain assessments? ",Published,"<p>All property owners within a drainage district receive an assessment, unless specifically exempted by law. In addition, the municipality, Van Buren County, the Van Buren County Road Commission, and the Michigan Department of Transportation (as appropriate) also receive an assessment for a portion of the maintenance costs. The Drain Code does not exempt most non-profit or religious properties from assessment.</p>",01/09/2021 10:57:59,,
"Drain Assessments ",Published," What is a Day of Review of Apportionments and do I have to attend the Day of Review?",Published,<p>This is a time when you are invited to review the maintenance efforts and costs for providing your land with storm water drainage and to discuss your proposed share of (apportionment) of these costs. This is also a time to inform the Drain Commissioner&rsquo;s Office of additional maintenance issues. Your attendance on the day of review is not required and most of the information such as costs and apportionment are on the letter you have received. There is also more information available on the County Drain Office website.</p>,01/09/2021 10:58:14,,
"Drain Assessments ",Published,"I recently purchased my property.   Why am I being billed for work done prior to my ownership? ",Published,"<p>Although the work for which you are being assessed may have been completed prior to your purchase of the land, the Drain Code requires that assessments be levied to the property, and assessed to the current owner of record. In most cases, the work performed will benefit the property for years to come.</p>",01/09/2021 10:58:22,,
"Drain Assessments ",Published,"What if I cannot attend the Day of Review? ",Published,"<p>If you are unable to attend the Day of Review and have questions regarding your assessment or the assessment process, please call the Van Buren County Drain Office. It is possible to make an appointment at times other than the Day of Review, although the appeal period begins after the date of the Day of Review.</p>",01/09/2021 10:58:29,,
"Drain Assessments ",Published,"What happens if I disagree with the proposed assessment for my property? ",Published,<p>Appeal of Drain Special Assessments may be made to the Van Buren County Probate Court within 10 days after the Day of Review.</p>,01/09/2021 10:58:36,,
"Drain Assessments ",Published,How do I pay my drain assessment?,Published,"<p>Drain assessments appear on your winter property tax bill and are paid along with your property taxes. &nbsp;In order to lessen yearly cost a drain assessment may be spread over multiple years, i.e. 1 of 3 years.</p>",01/09/2021 10:58:44,,
Register of Deeds,Published,Can you prepare my document or give me the forms to use?,Published,"<p>No, the Register of Deeds does not prepare any legal document, nor do we give legal advice. Some forms may be obtained from an office supply store. If you need assistance, please contact an attorney, title company or real estate agent.</p>",01/09/2021 11:45:41,,
Register of Deeds,Published,Do you furnish abstracts/titles to property?,Published,<p>No.</p>,01/09/2021 11:45:36,,
Register of Deeds,Published,What payment methods do you accept?,Published,"<ul><li>For recording documents: cash or check</li><li>For copies of documents: cash, check, or credit card if purchased online. (Please include a self addressed stamped envelope with your request or recording.)</li></ul>",01/09/2021 11:52:36,,
Register of Deeds,Published,Can I record a fax or a copy of a document?,Published,"<p>No, only documents with original signatures can be recorded.</p>",01/09/2021 11:52:52,,
Register of Deeds,Published,Can I record a true copy court document?,Published,<p>No. Court documents must be certified with the court seal to be recorded. Death certificates must be certified with the Clerk&rsquo;s seal.</p>,01/09/2021 11:53:25,,
Register of Deeds,Published,Can you fax or email me a copy of a recorded document?,Published,"<ul><li>We can fax, email, or mail copies of documents.</li><li>The cost for copies is $1 per page. Please include a self addressed stamped envelope if we are mailing back to you.</li><li>We accept cash, check and credit cards (Credit Cards are for copies only at this time. See Credit Card Payment Link on Register of Deeds Tool Bar. Follow Link to GovPayNow.net) All charges are paid in advance of the service.</li></ul>",01/09/2021 12:41:28,,
Register of Deeds,Published,Do you have standard document requirements?,Published,"<p>Yes, see Recording Requirements.</p>",01/09/2021 12:30:50,,
Register of Deeds,Published,Can I get documents through the Freedom of Information Act?,Published,"<p>No, all documents in this office are public information or covered by state statute. The copy fees for documents are set by state statute.</p>",01/09/2021 12:31:41,,
Register of Deeds,Published,Who can get a copy of my deed?,Published,"<p>Anyone can. Once your document is recorded, it is public record. </p>",01/09/2021 12:32:19,,
Register of Deeds,Published,What is the purpose of recording a document and what do you do with it?,Published,"<p>The purpose of recording is to make a public record of the transaction. Your document(s) are scanned and indexed for the permanent record. Microfilm copies are made, local units of government are notified of land transfers, and the recording information/ images are made available to the public. The original document is returned to whoever sent it in.</p>",01/09/2021 12:32:38,,
Register of Deeds,Published,When will you record my document and what do you do with the document after recording?,Published,"<p>We record and return the document within 1 to 2 days of receipt as long as it meets the recording requirements. The document is returned to whoever sent or brought the document to us. If the document came to us through an attorney/bank/title agency, etc. it is up to them when they return it to you.</p>",01/09/2021 12:33:31,,
Register of Deeds,Published,When was my house built?,Published,"<p>We can&rsquo;t answer that. We only deal with land records. Check with your township, city, village or the State Archives.</p>",01/09/2021 12:33:52,,
Register of Deeds,Published,Do you have a survey of my property?,Published,<p>Only if it has been surveyed and recorded. The majority of property has not been.</p>,01/09/2021 12:34:21,,
Register of Deeds,Published,Do you have or record mortgage surveys?,Published,<p>No.</p>,01/09/2021 12:34:37,,
Register of Deeds,Published,How can I find out who owns certain property?,Published,"<p>Go to the online Property Search, click on &quot;Begin Search&quot; under Public Users. You can search by name, address or parcel number. This will show you the taxpayer of record.</p>",01/09/2021 12:38:12,,
Register of Deeds,Published,Why is there a 2 ½-inch top margin requirement?,Published,"<p>The state passed a law on April 1, 1997, that requires a 2 &frac12;-inch top margin and &frac12; inch on all other sides. This is to allow room for the recording information, stamps, etc.</p>",01/09/2021 12:41:11,,
Register of Deeds,Published,Does the marital status have to be shown on documents?,Published,"<p>The marital status of males must be shown on documents that encumber or convey property, such as deeds and mortgages. Please check our &quot;Recording Requirements&quot; link to see which documents require marital status.</p>",01/09/2021 12:43:53,,
Register of Deeds,Published,Does the document need to be witnessed and notarized?,Published,<p>Documents no longer require witnesses. Most documents require notarization. Please check our &quot;Recording Requirements&quot; link to see which documents require a notary.</p>,01/09/2021 12:44:12,,
Register of Deeds,Published,What documents have to be tax certified?,Published,"<p>Warranty Deeds, Land Contracts/ Assignments and Master Deeds required a tax certificate from the Treasurer&rsquo;s Office. Please check our &quot;Recording Requirements&quot;.</p>",01/09/2021 12:44:32,,
Register of Deeds,Published,Will you record a copy of a death certificate?,Published,"<p>When you pay off your mortgage, you should receive a Discharge, Release or Satisfaction of Mortgage. You should have received your deed when you first purchased the property. If you do not have your deed, you can get a certified copy at the Register of Deeds office.</p>",01/09/2021 12:44:55,,
Register of Deeds,Published,I&#39ve paid off my mortgage. How can I get a copy of my deed?,Published,"<p>When you pay off your mortgage, you should receive a Discharge, Release or Satisfaction of Mortgage. You should have received your deed when you first purchased the property. If you do not have your deed, you can get a certified copy at the Register of Deeds office. </p>",02/15/2021 19:12:59,,
Sheriff&#39s Office - Care Trak,Published,What if the transmitter gets wet?,Published,"<p>The unit can be safely used in water, for showers, baths even swimming to a depth of 15 feet.</p>",02/17/2021 10:04:41,,
Sheriff&#39s Office - Care Trak,Published,What about warranty?,Published,"<p>The unit is covered for a period of seven years. The warranty does not cover misuse, abuse, loss or batteries.</p>",01/09/2021 18:37:50,,
Sheriff&#39s Office - Care Trak,Published,Is the equipment used to track “typical” kids or adults?,Published,<p>No. We specialize in tracking only at-risk individuals.</p>,01/09/2021 18:37:57,,
Sheriff&#39s Office - Care Trak,Published,How does the caregiver know the transmitter is working?,Published,<p>The transmitter emits a silent radio signal 24/7. Each caregiver is given a transmitter tester and is required to &ldquo;test&rdquo; the transmitter twice a day and log the results. The procedure is simple and requires only seconds.</p>,01/09/2021 18:38:03,,
Sheriff&#39s Office - Care Trak,Published,What if the transmitter stops working?,Published,<p>Call the Sheriff&rsquo;s Office immediately and a new transmitter will be brought to your location as soon as possible.</p>,01/09/2021 18:38:11,,
Sheriff&#39s Office - Care Trak,Published,Why not GPS?,Published,"<p>GPS is great for tracking cars, bad for tracking people. GPS depends on orbiting satellites to locate a person. GPS may not be able to locate in buildings, in bad weather, or in heavy under brush or trees. Clients are not aware they are lost and will not seek open areas which GPS systems require. Sometimes, low tech is better than high tech.</p>",01/09/2021 18:38:18,,
Sheriff&#39s Office - Care Trak,Published,How far can the signal be tracked?,Published,"<p>Typically, from the ground, the signal can be detected 1 mile away, but some conditions may allow the signal to be tracked more or less than a mile. If a signal is not detected at the last know location, a grid search from a vehicle is instituted.</p>",01/09/2021 18:38:27,,
Sheriff&#39s Office - Care Trak,Published,When should I call if my loved one is missing?,Published,<p>Spend no more than five minutes searching. Time is very important in finding a missing person. If you find them before we arrive that is wonderful.</p>,01/09/2021 18:38:32,,
Sheriff&#39s Office - Care Trak,Published,Who should I call if my loved one is missing?,Published,<p>Dial 911 and tell the dispatcher you are a Care Trak customer. Give them the name of the client and the last known location. Dispatch will contact our trained officers and send them to that location.</p>,01/09/2021 18:38:38,,
Sheriff&#39s Office - Care Trak,Published,Will I be charged a fee if you come and search for my loved one?,Published,"<p>No, the Van Buren County Sheriff&rsquo;s Office will not charge any fees for responding to a lost person incident.</p>",01/09/2021 18:38:46,,
Sheriff&#39s Office - Care Trak,Published,How far from home will you respond if we are traveling?,Published,"<p>While the unit will transmit from anywhere in the world, we cannot respond farther than the adjoining counties. If you are going on vacation or to Florida for the winter, call us and we can get you in touch with an agency in the area you are going to and get a transmitter for that area.</p>",01/09/2021 18:38:52,,
Sheriff&#39s Office - Care Trak,Published,"My neighbor has Care Trak as well, how will you know which transmitter you are tracking?",Published,<p>Each transmitter has a unique frequency setting; no two will have the same setting in this part of the country. The frequency is recorded in the client profile and is set in the search receiver when we need to locate the transmitter.</p>,01/09/2021 18:39:05,,
Bangor-South Haven Heritage Water Trail,Published,How will fallen trees and log jams be approached?,Published,<p>Limited removal to provide a pathway for canoes and kayaks with guidance from DNR officials to capitalize on fish habitat and limiting bank erosion. The Bangor/South Haven Heritage Water Trail Association (<abbr>B/SH</abbr> <abbr>HWTA</abbr>) does not clea&rsquo; the river from bank to bank. A pathway is cut and trimmed along the route. <abbr>B/SH</abbr> <abbr>HWTA</abbr> leaders were trained by MDNR persons to cut a 3- to 4-foot pathway wide enough for a canoe or kayak to paddle through. The training made sure <abbr>B/SH</abbr> <abbr>HWTA</abbr> maintains the fish habitat that exists along the route. The training also taught <abbr>B/SH</abbr> <abbr>HWTA</abbr> leaders how and where to cut a pathway without causing erosion on either side of the bank.</p>,01/26/2021 11:57:57,,
Bangor-South Haven Heritage Water Trail,Published,How far back from the banks will trees be cut?,Published,"<p>No &quot;on the land&quot; trees, shrubs, etc. will be removed. The bases of fallen trees will be left intact on the banks.</p>",01/09/2021 18:41:57,,
Bangor-South Haven Heritage Water Trail,Published,Can landowners request use of trees and limbs removed?,Published,"<p>B/SH HWTA staff will gladly coordinate with adjacent landowners wanting materials from trees and limbs that originated on their property; otherwise, removed trees and limbs will be taken from the river and flood plain, or secured to increase fish habitat or lessen bank erosion.</p>",01/09/2021 18:42:05,,
Bangor-South Haven Heritage Water Trail,Published,What will control trespass on private property?,Published,<p>B/SH HWTA &quot;Rules for Paddlers&quot; will set a tone of respect. Signs will be available from B/SH HWTA for landowners and most of the banks along the Black River are not conducive for people getting out and walking around (steep banks and lots of poison ivy!).</p>,01/09/2021 18:42:13,,
Bangor-South Haven Heritage Water Trail,Published,Will liability be limited for trespasser injury?,Published,<p>Landowners are limited in liability by Michigan law for injury of trespassing persons. See <a href=&#34https://www.michigan.gov/documents/Water97e_142928_7.pdf&#34 rel=&#34noopener noreferrer&#34 target=&#34_blank&#34>Riparian Rights on Michigan Waterways for more information (PDF)</a>.</p>,01/26/2021 11:59:49,,
Bangor-South Haven Heritage Water Trail,Published,Where will historical markers be placed?,Published,"<p>Most of the historical markers will be placed on the bridges at road crossings. A few may be placed at parks, public access sites, etc.</p>",01/09/2021 18:42:27,,
Bangor-South Haven Heritage Water Trail,Published,Will there be any signage on private property?,Published,<p>Landowners may arrange with B/SH HWTA to receive private property signs that remind paddlers to stay on the river and off adjacent property.</p>,01/09/2021 18:42:33,,
Bangor-South Haven Heritage Water Trail,Published,How will trash and litter be limited?,Published,"<p>&quot;Leave No Trace&quot; ethics will be emphasized. Litterbags will be encouraged, and paddlers usually influence other paddlers not to litter. Also, use of the river will limit trash dumping from bridges, as paddlers can be &quot;witnesses&quot;.</p>",01/09/2021 18:42:39,,
Bangor-South Haven Heritage Water Trail,Published,Will B/SH HWTA be responsible for any clean-up of trash?,Published,"<p>Paddler organizations have a long heritage of sponsoring &quot;River Clean-up Days&quot; and in keeping with this tradition, we host clean-up days as well as picking up trash on all of our workdays. We do our best to keep this beautiful river clean!</p>",01/09/2021 18:42:48,,
Bangor-South Haven Heritage Water Trail,Published,Will the HWT limit use by fishermen and hunters?,Published,<p>Preservation of fish habitat is inherent to our Mission and Purpose. A natural B/SH HWTA extension to that is to respect the use of the river by hunters during designated seasons. B/SH HWTA materials will advise paddlers to respect others using the river. Major paddling use of the river will be discouraged during prime hunting times.</p>,01/09/2021 18:42:55,,
Bangor-South Haven Heritage Water Trail,Published,Will portages be built?,Published,"<p>No portages are planned as part of the development. Following a storm, extensive new obstructions of wind-fallen trees may present the need, temporarily, for portages. Paddlers will be advised to stay as close to the water&rsquo;s edge as possible until a new pathway can be formed by B/SH HWTA volunteers.</p>",01/09/2021 18:43:02,,
Bangor-South Haven Heritage Water Trail,Published,Where will &#34put-in and take-out&#34 access points be located?,Published,<p>Lions Park in Bangor will be a trailhead along with the Michigan Maritime Museum in South Haven. Various bridge crossings and possibly some privately owned land will be developed as access points.</p>,01/09/2021 18:43:08,,
Bangor-South Haven Heritage Water Trail,Published,Where will &#34toilet facilities&#34 be placed?,Published,<p>Some of the access points will be equipped with toilet facilities and picnic areas.</p>,01/09/2021 18:43:13,,
Bangor-South Haven Heritage Water Trail,Published,What controls will limit users from any mischief?,Published,"<p>Paddlers in general are an environmentally friendly group of people. The Black River is a slow, shallow river so users looking for a &quot;rush&quot; will have to try another river. Groups of people usually influence the behavior of all in the group and even others on the river. Landowners can observe and report problems and may have a potential for patrolling by the Marine patrol.</p>",01/09/2021 18:43:18,,
